prompt,response
中电数通公司全称,"""深圳市中电数通智慧安全科技股份有限公司"""
"""深圳市中电数通智慧安全科技股份有限公司""的简称","""中电数通"""
请简单介绍一下中电数通公司,"""深圳市中电数通智慧安全科技股份有限公司成立于2009年，总部位于深圳，在北京、重庆、湖南、内蒙古、海南、上海、山东、成都、西安、新疆等地设有分公司、办事处，是一家专注于智慧城市安全大数据风控平台建设运营， 集大数据分析、智慧消防、智慧市政管理、智慧社区管理、智慧校园、安全教育服务为一体的国家高新技术企业。已为全国30多个城市近2亿人提供连续稳定运行5年以上的智慧城市安全管理解决方案。 公司经过十余年的发展，目前已完成A轮融资和B轮融资，正式启动C轮融资，并成功入选'粤港澳大湾区独角兽白皮书'，成为潜在独角兽企业。 2019年2月2日，深圳证监局公示受理深圳市中电数通智慧安全科技股份有限公司上市辅导备案的申请，标志着中电数通在IPO的道路上又迈出了坚实的一步。 中电数通在'人防+物防+智防'理念指导下，由技术型、项目型向平台型、数据型转变，围绕安全倾力打造中电智慧安全大数据风控平台（慧安APP）。 运用大数据、云计算、物联网、人工智能等自主研发核心技术，针对多场景安全因素实现24小时不间断监控分析的全流程覆盖，实现多人多级联防"""
中电数通公司有哪些方面的技术能力,"""物联网、云计算、大数据分析、人工智能等方面"""
中电数通联合的五大权威机构分别是哪些？,"""'中国科学院深圳先进技术研究院','深圳市城市安全公共技术研究院','中国矿业大学','中国人民警察大学','新华社中国经济信息社'"""
中电数通公司的技术背景优势,"""中电数通联合'中国科学院深圳先进技术研究院','深圳市城市安全公共技术研究院','中国矿业大学','中国人民警察大学','新华社中国经济信息社'五大权威机构联合打造的慧安平台。其中公司自行自建的深圳数通城市安全研究院汇集了国内在智慧消防方面顶级的专家学者，比如陈南教授（中国人民武装警察部队学院消防工程系教授、研究生导师）、蔡芸教授（中电数通首席安全顾问， 中国人民武装警察部队学院教授）。公司有六大专业团队，包括强大的近200人技术研发团队，专业的管理团队，专业的大数据分析团队，专业的方案解决团队，通信及硬件团队和专业的服务团队。累计获得220多项国家专利。公司平台基于核心的综合风险评估模型，针对不同应用场景、客户不同的需求开发了相应的系统解决方案。极大帮助解决了执法警力严重不足、监管难、效率低、时效差等诸多问题"""
公司项目经验有哪些,"""平台应用于全国26个城市安全管理，2016年在深圳龙岗区落地的智慧消防社会化管理平台，一直运营至今，合计纳管全区11个街道、111个社区，13万家企业，自系统上线以来，全区火灾接警率逐年下降幅度达70%。在危化行业我们承建了大亚湾石化公用智慧管廊安全管理项目，利用此平台巡检部门3个人纳管了30平方公里的管廊安全巡查工作。在教育行业我们承建了南方科技大学智慧安全应急平台，对校园进行了三维建模，利用物联感知设备对校园进行整体安全监控并将校内5000多路摄像头做到AI智能分析实现了校园的整体智慧化管控。在青海省落地的‘青智119平台’是全国唯一的一个一网统管的省级安全管理平台，类似项目还有很多不再一一介绍。我们致力于把'安全带给每一个人，让安全成为回家最近的路'"""
['中电数通公司的使命是什么'],"""让安全成为回家最近的路"""
['中电数通公司的价值观是什么'],"""用智慧点亮安全 用安全呵护生命"""
"""中电数通人的梦想是什么""","""把智慧安全带给天下每一个人"""
